wyniki dla pierwszej epoki doby 1.03.2026 r. godz. 0:00:00
azymut i elewacja obliczone dla phi = 52; lam = 21; h = 100 m
wyniki azymutu i elewacji w stopniach!!!
sat	x		y		z	      azymut	elewacja
  1     9352101.591    14282621.747   -20368843.378   156.926   -28.604
  2    -2506204.639    15282971.112   -21104983.626   135.522   -44.220
  3    11882898.310    23391328.719    -4697501.959   136.024     4.346
  4     2767817.904    20012857.516    17182188.835    80.655    36.322
  5     -365360.942   -19882225.054    17417310.450   -47.945     6.352
  6    25602676.928    -4983607.974     5503477.059  -135.393    30.476
  7    22578166.996     7429478.100    12864846.646  -173.876    59.507
  8    -4670032.334    24875887.934    -7370875.524   108.035   -19.688
  9    10927942.958    11535004.154    21176899.116    75.582    69.721
 10   -17484308.548    -3153644.181   -19586284.052    62.685   -83.447
 11    16007784.594   -12456282.046    17162001.589   -82.365    37.842
 12    -7748617.731   -24219672.449    -7973643.129   -68.904   -46.555
 13    13131437.092   -22781909.257    -2796013.557  -100.742   -12.884
 14    19116711.130     5657445.428   -17606545.047  -176.609   -16.789
 15     1046922.059   -25401191.788    -8130134.954   -86.630   -36.374
 16    -5871109.014    16896505.627    19097182.691    57.646    23.123
 17    17745719.970    -4727356.679   -18911885.522  -155.226   -25.225
 18   -23798451.533    -5876062.322    10605290.695     6.748   -26.626
 19    18830486.516   -12270496.763   -13804415.506  -136.023   -19.195
 20     9690685.596   -24652018.709    -1921847.533   -92.874   -16.287
 21     8677925.799   -13577431.865    21117166.635   -56.440    32.927
 22    16285053.026     -577625.664   -20580924.790  -165.396   -27.834
 23   -19327286.570   -15028660.489   -10552018.608   -30.654   -64.417
 24    -3346112.672   -15669481.045   -21722275.756  -115.710   -62.687
 25   -17366488.262   -19925874.859     3360300.238   -31.135   -37.082
 26   -14348354.574     7285937.799    20929266.362    29.162     8.099
 27   -12331959.294    23109604.322     2199022.043    81.423   -14.137
 28   -25515871.598     5855197.333     4556011.621    36.226   -33.152
 29    -9123856.543   -13456219.166    20933009.234   -21.642     4.352
 30    26594369.590     -407779.402     2598793.026  -150.930    28.071
 31   -19960950.944    10818418.042    13746960.330    40.622    -9.886
 32   -17465734.506     8526473.205   -17743346.064    91.861   -63.476
101    10525669.749   -12421914.721    19636201.230   -62.871    35.719
102     6337166.386   -24039492.886     5914971.167   -76.817    -7.553
103    -2925128.831   -21930080.391   -12692375.460   -88.374   -49.665
104    -9259505.600    -7478654.655   -22526396.322  -143.349   -78.832
105   -11029374.236    10726766.801   -20322524.591   117.936   -59.040
